experiment,model_name,test_source,class_id,class_name,mAP50_95,source_file,model_display_name
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,Merged,4,spur,0.4542666771383064,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,Merged,5,spurious_copper,0.662794164240371,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,DeepPCB,0,missing_hole,0.8633870233488633,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,DeepPCB,1,mouse_bite,0.7319217870127157,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,DeepPCB,2,open_circuit,0.732264062336671,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,DeepPCB,3,short,0.6691014653461816,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,DeepPCB,4,spur,0.7212709339223384,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,DeepPCB,5,spurious_copper,0.8395343095326198,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,DsPCBSD,0,missing_hole,0.7952005640122151,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,DsPCBSD,1,mouse_bite,0.373959762231703,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
